feature,control_median,parkinson_median,median_difference_parkinson_minus_control,p_value,rank_biserial_effect_size,n_control,n_parkinson,p_value_corrected,effect_size_interpretation,feature_group,abs_effect_size
cv_right_swing_time,0.08774842709982214,0.1266726862411732,0.03892425914135106,4.2735776588952264e-11,0.47546728971962615,92,214,1.3248090742575202e-09,medium,swing,0.47546728971962615
swing_time_symmetry_index,0.02385740442245135,0.05455637206474,0.030698967642288646,2.3309353226996822e-09,0.43066842746850864,92,214,3.612949750184507e-08,medium,asymmetry,0.43066842746850864
mean_contact_duration_difference,0.008874593913368499,0.021305241421915498,0.012430647508547,3.809759447528345e-08,0.39653596099146693,92,214,3.9367514291126237e-07,medium,asymmetry,0.39653596099146693
cv_step_time,0.15852994641522936,0.27552295949606054,0.11699301308083118,1.6041223379074273e-07,0.3778443722064202,92,214,1.2431948118782562e-06,medium,step_stride,0.3778443722064202
cv_left_swing_time,0.0860255661979692,0.1309436317331815,0.0449180655352123,5.1948989968147e-07,0.3618955709061358,92,214,3.220837378025114e-06,medium,swing,0.3618955709061358
cv_right_stride_time,0.0780618602637791,0.10678448124093926,0.02872262097716015,8.096783307618218e-07,0.35569890288500616,92,214,4.183338042269412e-06,medium,step_stride,0.35569890288500616
cv_left_stride_time,0.0815123923988346,0.11133679667523015,0.029824404276395558,1.4630337886573732e-05,0.3125253961804144,92,214,6.479149635482653e-05,medium,step_stride,0.3125253961804144
mean_right_swing_time,0.39936617759877274,0.37531104651162817,-0.024055131087144577,3.788579915068496e-05,-0.2970845184884193,92,214,0.00014680747170890422,small,swing,0.2970845184884193
mean_left_swing_time,0.399713343253968,0.37893863022941965,-0.020774713024548364,0.00015304965920068337,-0.27300893945550586,92,214,0.0005271710483579094,small,swing,0.27300893945550586
stride_time_symmetry_index,0.00581484250511305,0.008746047793948799,0.002931205288835749,0.0034273460978366996,0.2110422592442096,92,214,0.010624772903293769,small,asymmetry,0.2110422592442096
cv_right_peak_force,0.039455312894091446,0.03465371775169715,-0.0048015951423942965,0.010003450956623909,-0.18574766355140182,92,214,0.028191543605031014,small,force,0.18574766355140182
mean_right_contact_duration,0.6829389097958714,0.714898562030075,0.031959652234203606,0.011477876357597767,0.18229378301503463,92,214,0.029651180590460898,small,contact,0.18229378301503463
force_area_symmetry_index,0.038608091939347555,0.0523640218008834,0.013755929861535843,0.012531812538448919,0.18005891913856154,92,214,0.029883552976301266,small,asymmetry,0.18005891913856154
mean_right_force_area,474.17974858568874,502.4394035590277,28.259654973338968,0.026663647404871454,0.15984355952864693,92,214,0.05904093353935822,small,force,0.15984355952864693
mean_left_contact_duration,0.6878360360360359,0.712675553797468,0.024839517761432117,0.041603979146776555,0.14694229987809826,92,214,0.08598155690333821,small,contact,0.14694229987809826
cv_right_force_area,0.10776771819929054,0.1154604336826736,0.0076927154833830586,0.059201565293492006,0.13607273466070713,92,214,0.11470303275614076,small,force,0.13607273466070713
cv_left_contact_duration,0.10955080760292385,0.1289616828894111,0.019410875286487245,0.06390003092663707,0.13363470134091826,92,214,0.11652358580739701,small,contact,0.13363470134091826
peak_force_symmetry_index,0.03653944167951105,0.0424134148432777,0.005873973163766651,0.07399371497122922,0.12886021942299886,92,214,0.12743362022822813,small,asymmetry,0.12886021942299886
cv_right_contact_duration,0.11883834453616035,0.12573445028124686,0.006896105745086506,0.08060276650207145,0.12601584721657866,92,214,0.13150977692443236,small,contact,0.12601584721657866
mean_left_force_area,482.3633917665285,499.39804003750004,17.03464827097156,0.08742215272214383,0.12327305973181635,92,214,0.13550433671932294,small,force,0.12327305973181635
cv_left_force_area,0.09853428269245651,0.10873820943656805,0.010203926744111538,0.17481376526771197,0.09787687931735056,92,214,0.25805841539519386,very small,force,0.09787687931735056
cv_left_peak_force,0.040022708601011744,0.037470686765359904,-0.002552021835651841,0.3063281621435717,-0.07380130028443721,92,214,0.41313316126189203,very small,force,0.07380130028443721
cv_contact_duration_difference,0.03447288737947535,0.03850852990752935,0.004035642528054002,0.30900079494104893,0.07339496139780577,92,214,0.41313316126189203,very small,asymmetry,0.07339496139780577
mean_left_peak_force,963.7697939958591,977.3591666666666,13.589372670807506,0.31984502807372284,0.07176960585128,92,214,0.41313316126189203,very small,force,0.07176960585128
mean_right_peak_force,979.667404904905,990.6670911949686,10.999686290063664,0.3634422639365835,0.06557293783015039,92,214,0.45066840728136354,very small,force,0.06557293783015039
contact_count_difference,1.0,1.0,0.0,0.4753891508063286,0.04926859000406347,92,214,0.5668101413460072,very small,asymmetry,0.04926859000406347
mean_step_time,0.5493248287671233,0.5593549452861953,0.010030116519072041,0.5033100135785975,0.04830353514831365,92,214,0.577874460034686,very small,step_stride,0.04830353514831365
mean_right_stride_time,1.0943498295454546,1.1030213608957795,0.008671531350324946,0.7721558711998284,0.0209264526615196,92,214,0.8548868573998101,very small,step_stride,0.0209264526615196
right_contacts_per_sec,0.9160569935999804,0.9078042278918724,-0.008252765708107956,0.8673760179107696,-0.012088581877285676,92,214,0.9271950536287538,very small,contact,0.012088581877285676
mean_left_stride_time,1.093104534501643,1.1054803435966087,0.012375809094965717,0.9141615223248931,0.007822023567655378,92,214,0.9446335730690563,very small,step_stride,0.007822023567655378
left_contacts_per_sec,0.914830275281581,0.9073491618892175,-0.007481113392363459,0.9634696316269425,-0.003352295814709416,92,214,0.9634696316269425,very small,contact,0.003352295814709416
